timepoint,mean_asd,std_asd,mean_tdc,std_tdc,is_top_asd,is_top_tdc
89,7.171472e-06,4.535943e-07,7.642571e-06,9.596691e-07,False,True
90,7.6230963e-06,4.4492472e-07,7.4742884e-06,1.0861705e-06,False,False
91,7.467855e-06,7.7376444e-07,7.321932e-06,7.9494004e-07,False,False
92,7.4879727e-06,8.408344e-07,7.3376696e-06,5.720491e-07,False,False
93,7.26285e-06,5.456023e-07,7.8619905e-06,9.304967e-07,False,True
94,7.3274423e-06,4.810001e-07,7.2159987e-06,6.704601e-07,False,False
95,7.5227995e-06,5.980037e-07,7.723554e-06,5.1136243e-07,False,True
96,7.1114687e-06,9.1228134e-07,7.6104798e-06,6.205492e-07,False,False
97,7.2202433e-06,6.119775e-07,7.458076e-06,1.0222096e-06,False,False
98,7.856446e-06,3.9587033e-07,7.3901183e-06,1.2369032e-06,True,False
99,7.412504e-06,7.9585175e-07,7.389158e-06,7.9259985e-07,False,False
100,7.1906006e-06,2.893087e-07,7.4213654e-06,1.1142009e-06,False,False
101,7.475098e-06,6.6582976e-07,7.5826842e-06,7.9400957e-07,False,False
102,7.5962475e-06,5.326248e-07,7.2911816e-06,4.6009947e-07,False,False
103,7.3132032e-06,3.7269857e-07,7.4726536e-06,1.0296048e-06,False,False
104,7.1879585e-06,4.3904032e-07,7.5478624e-06,1.089313e-06,False,False
105,7.366115e-06,4.250593e-07,7.553526e-06,6.707163e-07,False,False
106,7.291709e-06,3.906518e-07,7.3072633e-06,9.430912e-07,False,False
107,7.2300636e-06,5.569198e-07,7.2441317e-06,8.169079e-07,False,False
108,7.3206793e-06,4.7463504e-07,7.355401e-06,9.580574e-07,False,False
109,7.2714765e-06,7.5679094e-07,7.0886585e-06,6.9073354e-07,False,False
110,7.293746e-06,4.069394e-07,7.61638e-06,9.718409e-07,False,False
111,7.5715207e-06,4.2811433e-07,7.584288e-06,9.760332e-07,False,False
112,7.435048e-06,3.523906e-07,7.415947e-06,8.9769e-07,False,False
113,7.68348e-06,8.7300924e-07,7.4885343e-06,7.4238574e-07,True,False
114,7.4837167e-06,6.863934e-07,7.490683e-06,1.0326274e-06,False,False
115,7.2988723e-06,6.604922e-07,7.0378874e-06,6.3855634e-07,False,False
