timepoint,mean_asd,std_asd,mean_tdc,std_tdc,is_top_asd,is_top_tdc
266,7.205645e-06,4.5338382e-07,7.262655e-06,9.73172e-07,False,True
267,6.710551e-06,3.3491241e-07,6.821318e-06,6.58138e-07,False,False
268,7.415399e-06,3.9967537e-07,6.9815483e-06,6.554422e-07,False,False
269,7.321968e-06,4.1386932e-07,6.9315183e-06,7.5754224e-07,False,False
270,7.010941e-06,4.0934592e-07,7.4580043e-06,9.277032e-07,False,True
271,7.319663e-06,5.289555e-07,7.196873e-06,5.5942024e-07,False,False
272,7.0992764e-06,4.6119536e-07,6.7496176e-06,7.9630206e-07,False,False
273,7.133001e-06,3.1772416e-07,6.9210996e-06,7.694226e-07,False,False
274,7.222619e-06,7.197576e-07,7.276473e-06,7.205551e-07,False,True
275,7.454718e-06,3.0233417e-07,7.12185e-06,6.7214427e-07,True,False
276,7.4254835e-06,5.5172967e-07,7.2596727e-06,6.3791396e-07,False,True
277,7.1490454e-06,2.0278179e-07,6.994246e-06,8.348147e-07,False,False
278,7.366478e-06,6.3918264e-07,6.846452e-06,8.8738875e-07,False,False
279,7.2989546e-06,4.7521337e-07,6.748539e-06,6.744689e-07,False,False
280,7.5706494e-06,8.354504e-07,7.1522204e-06,6.741382e-07,True,False
281,6.799293e-06,5.833757e-07,6.983374e-06,6.643615e-07,False,False
282,7.233005e-06,3.029342e-07,6.805631e-06,8.949304e-07,False,False
283,7.1595923e-06,3.575594e-07,6.886856e-06,2.6727108e-07,False,False
284,7.4854515e-06,2.813215e-07,6.878619e-06,6.7374776e-07,True,False
285,7.182601e-06,6.733306e-07,7.2243943e-06,6.713558e-07,False,True
286,7.136495e-06,8.2940556e-07,6.8291724e-06,8.320698e-07,False,False
287,7.323163e-06,3.9835973e-07,6.7507185e-06,8.2491795e-07,False,False
288,7.0737706e-06,3.4845445e-07,6.6219086e-06,9.246817e-07,False,False
289,7.4587783e-06,3.307136e-07,7.19292e-06,8.283776e-07,True,False
290,7.1084564e-06,4.5606245e-07,6.6086477e-06,9.407092e-07,False,False
291,7.185645e-06,3.9795583e-07,6.8485506e-06,7.116465e-07,False,False
292,7.3826536e-06,4.769187e-07,6.8854692e-06,7.125429e-07,False,False
293,6.8830545e-06,3.582407e-07,7.223379e-06,9.4393755e-07,False,True
294,7.1572986e-06,1.853488e-07,7.142569e-06,1.0419667e-06,False,False
295,7.262463e-06,4.9131154e-07,6.972559e-06,5.7675356e-07,False,False
296,6.976102e-06,3.3709782e-07,7.312078e-06,6.742227e-07,False,True
297,7.4416275e-06,5.190302e-07,6.9691596e-06,7.6171443e-07,True,False
298,7.4281706e-06,5.67041e-07,6.9285e-06,9.301299e-07,True,False
299,7.4938966e-06,5.024096e-07,7.326412e-06,8.6077495e-07,True,True
300,7.0257433e-06,5.816366e-07,7.66452e-06,8.541253e-07,False,True
301,7.1352283e-06,5.7969595e-07,7.0851775e-06,1.0904384e-06,False,False
302,7.3339443e-06,4.6373864e-07,7.2378853e-06,6.847899e-07,False,True
303,7.1672066e-06,3.6102642e-07,7.1880086e-06,5.6392275e-07,False,False
304,7.4909685e-06,6.824549e-07,6.9228126e-06,7.025595e-07,True,False
305,7.2729367e-06,8.545678e-07,7.5355283e-06,1.0219411e-06,False,True
306,7.5376724e-06,7.052786e-07,7.00746e-06,9.4861656e-07,True,False
307,6.9067582e-06,5.031374e-07,6.971073e-06,6.8219913e-07,False,False
308,7.3606075e-06,6.2426216e-07,7.0719643e-06,9.640415e-07,False,False
309,7.2827183e-06,3.7811142e-07,7.1039567e-06,8.9893837e-07,False,False
